vua_ID,vua_title,vua_hoten,vua_tuochieu,vua_chucvi,vua_ngaysinh,vua_ngaymat,trieudai_ID
108,Trịnh Tạc,Trịnh Tạc,Hoằng Tổ Dương vương,Chúa Trịnh thứ 3,11/04/1606,24/09/1682,11
109,Trịnh Căn,Trịnh Căn,Chiêu Tổ Khang Vương,Chúa Trịnh thứ 4,18/07/1633,17/06/1709,11
110,Trịnh Cương,Trịnh Chù,Hy Tổ Nhân vương,Chúa Trịnh thứ 5,09/07/1686,20/12/1729,11
111,Trịnh Giang,Trịnh Khương,Dụ Tổ Thuận vương,Chúa Trịnh thứ 6,14/10/1711,30/12/1762,11
112,Trịnh Doanh,Trịnh Doanh,Nghị Tổ Ân vương,Chúa Trịnh thứ 7,04/12/1720,12/05/1767,11
113,Trịnh Sâm,Trịnh Sâm,Thánh Tổ Thịnh vương,Chúa Trịnh thứ 8,09/02/1739,13/09/1782,11
114,Trịnh Cán,Trịnh Cán,,Chúa Trịnh thứ 9,1775,17/12/1782,11
115,Trịnh Tông,Trịnh Khải,,Chúa Trịnh thứ 10,10/10/1763,23/07/1786,11
116,Trịnh Bồng,Trịnh Bồng,,Chúa Trịnh thứ 11,25/08/1749,13/02/1791,11
117,Trịnh Kiều,Trịnh Kiều,,Thế tử,1601,1642,9
118,Trịnh Vịnh,Trịnh Vịnh,,Vương Thế tử,1654,1683,
119,Trịnh Bính,Trịnh Bính,,Thế tử,30/06/1670,03/02/1703,
120,Nguyễn Nhạc,Nguyễn Văn Nhạc,Thái Đức,Hoàng đế đầu tiên,1743,1793,12
121,Quang Trung,Nguyễn Huệ,,Hoàng đế thứ 2,1753,16/09/1792,12
122,Nguyễn Quang Toản,Nguyễn Quang Toản,Cảnh Thịnh và Bảo Hưng,Hoàng đế thứ 3,1783,1802,12
123,Nguyễn Hoàng,Nguyễn Thái Tổ,,Chúa Nguyễn đầu tiên,28/08/1525,20/07/1613,13
124,Nguyễn Phúc Nguyên,Nguyễn Hy Tông,,Chúa Nguyễn thứ 2,16/08/1563,19/11/1635,13
125,Nguyễn Phúc Lan,Nguyễn Thần Tông,,Chúa Nguyễn thứ 3,13/08/1601,19/03/1648,13
126,Nguyễn Phúc Tần,Nguyễn Thái Tông,Dũng Quận công,Chúa Nguyễn thứ 4,18/07/1620,30/04/1687,13
127,Nguyễn Phúc Thái,Nguyễn Phúc Thái,,Chúa Nguyễn thứ 5,1649,1691,13
128,Nguyễn Phúc Chu,Nguyễn Hiển Tông,,Chúa Nguyễn thứ 6,11/06/1675,01/06/1725,13
129,Nguyễn Phúc Chú,Trú hay Thụ Nguyễn Túc Tông,,Chúa Nguyễn thứ 7,1697,1738,13
130,Nguyễn Phúc Khoát,Chúa Võ,Vũ vương hay Võ vương,Chúa Nguyễn thứ 8,1714,1765,13
131,Nguyễn Phúc Thuần,Nguyễn Duệ Tông,,Chúa Nguyễn thứ 9,1754,1777,13
132,Nguyễn Phúc Dương,Nguyễn Phúc Dương,Tân Chính vương,Chúa Nguyễn thứ 10,1759?,1777,13
133,Gia Long,Nguyễn Phúc Ánh,Nguyễn Thế Tổ,Hoàng đế đầu tiên,08/02/1762,03/02/1820,14
134,Minh Mạng,Minh Mạng,Nguyễn Thánh Tổ,Hoàng đế thứ 2,25/05/1791,20/01/1841,14
135,Thiệu Trị,Nguyễn Phúc Dung,Hiến Tổ,Hoàng đế thứ 3,16/06/1807,04/11/1847,14
136,Tự Đức,Nguyễn Phúc Hồng Nhậm,Nguyễn Dực Tông,Hoàng đế thứ 4,22/09/1829,19/07/1883,14
137,Dục Đức,Nguyễn Phúc Ưng Ái,Cung Tông,Hoàng đế thứ 5,23/02/1852,06/10/1883,14
138,Hiệp Hòa,Nguyễn Phúc Hồng Dật,Hiệp Hòa,Hoàng đế thứ 6,01/11/1847,29/11/1883,14
139,Kiến Phúc,Nguyễn Phúc Ưng Đăng,Nguyễn Giản Tông,Hoàng đế thứ 7,12/02/1869,31/07/1884,14
140,Hàm Nghi,Nguyễn Phúc Ưng Lịch,,Hoàng đế thứ 8,03/08/1871,14/01/1944,14
141,Đồng Khánh,Nguyễn Phúc Ưng Thị,,Hoàng đế thứ 9,19/02/1864,28/01/1889,14
142,Thành Thái,Nguyễn Phúc Bửu Lân,,Hoàng đế thứ 10,14/03/1879,20/03/1954,14
143,Duy Tân,Nguyễn Phúc Vĩnh San,,Hoàng đế thứ 11,19/09/1900,26/12/1945,14
144,Khải Định,Nguyễn Phúc Bửu Đảo,Hoằng Tông,Hoàng đế thứ 12,08/10/1885,06/11/1925,14
145,Bảo Đại,Nguyễn Phúc,,Hoàng đế thứ 13,22/10/1913,31/07/1997,14
